
2013-12-06 23:53:26 | ip ::1 | Notice : Use of undefined constant APPLI_TABLE - assumed 'APPLI_TABLE' ; ligne : 71 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:57:13 | ip ::1 | Notice : Use of undefined constant APPLI_TABLE - assumed 'APPLI_TABLE' ; ligne : 30 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:57:14 | ip ::1 | Notice : Use of undefined constant APPLI_BOOK_NUMBER - assumed 'APPLI_BOOK_NUMBER' ; ligne : 32 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:57:14 | ip ::1 | Notice : Use of undefined constant APPLI_BOOK_NUMBER - assumed 'APPLI_BOOK_NUMBER' ; ligne : 33 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-07 00:07:35 | ip ::1 | Notice : Use of undefined constant mysql - assumed 'mysql' ; ligne : 6 ; C:\xampp\htdocs\hibook\server\cache\g-confDB.php

2013-12-07 00:08:44 | ip ::1 | Notice : Use of undefined constant APPLI_TABLE - assumed 'APPLI_TABLE' ; ligne : 30 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-07 00:08:44 | ip ::1 | Notice : Use of undefined constant APPLI_BOOK_NUMBER - assumed 'APPLI_BOOK_NUMBER' ; ligne : 32 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-07 00:08:44 | ip ::1 | Notice : Use of undefined constant APPLI_BOOK_NUMBER - assumed 'APPLI_BOOK_NUMBER' ; ligne : 33 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php
